Directories,First,Second,Third
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/cosmos.txt,"(19, 38.4805403)","(10, 38.2738177)","(2, 21.4391705)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/attritionwebsite.txt,"(13, 57.3450693)","(5, 16.4200354)","(12, 15.2327038)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/robocopcharacter.txt,"(16, 47.7762716)","(0, 15.032822900000001)","(13, 9.5263574)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/submarinesnorkel.txt,"(4, 59.7441347)","(5, 20.734121299999998)","(2, 10.1507551)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/nathanrabin.txt,"(17, 46.348445399999996)","(18, 32.6571956)","(14, 8.336619800000001)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/microsoftpowerpoint.txt,"(12, 67.4430265)","(10, 12.3314084)","(17, 7.157511599999999)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/recordproducer.txt,"(14, 56.0801725)","(10, 16.103469)","(12, 12.0140848)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/echiumwildpretii.txt,"(6, 61.0412425)","(15, 24.721931899999998)","(17, 7.44121)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/hackthissite.txt,"(12, 42.8805047)","(13, 26.5999358)","(10, 21.1293689)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/childreninneed2010.txt,"(14, 58.5938161)","(17, 21.3673535)","(8, 9.7793279)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/diminutive.txt,"(6, 55.3386202)","(10, 35.908433)","(7, 5.8939179)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/pitbullrapper.txt,"(14, 78.05305129999999)","(17, 10.969876300000001)","(13, 3.6602594)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/nortonmotorcyclecomp.txt,"(4, 64.4080145)","(17, 12.4962769)","(13, 9.431616499999999)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/thumbaequatorialrock.txt,"(2, 30.211274999999997)","(19, 22.2221257)","(8, 17.8337442)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/nagercoil.txt,"(8, 42.5030693)","(19, 29.7086842)","(9, 9.161839200000001)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/roywinsor.txt,"(17, 68.57543940000001)","(18, 18.7065357)","(0, 6.9752256)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/moorgatestation.txt,"(11, 87.087159)","(8, 12.5820621)","(10, 0.1110968)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/khurshidoftabaristan.txt,"(5, 72.4266274)","(19, 20.059367)","(17, 2.9682410999999997)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/birminghamcitycentre.txt,"(8, 93.6458454)","(11, 4.6499205)","(13, 0.7733494)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/lasenza.txt,"(13, 44.1547836)","(14, 22.303764100000002)","(17, 13.2464971)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/smallsoldiers.txt,"(16, 32.2846579)","(17, 29.704156599999997)","(18, 15.329030099999999)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/geoffreyjenkins.txt,"(17, 59.871918)","(18, 16.5475285)","(6, 10.6740322)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/groharlembrundtland.txt,"(3, 62.5431697)","(9, 11.9796762)","(13, 8.4474203)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/prince.txt,"(7, 68.8897353)","(6, 9.562628400000001)","(19, 7.527837900000001)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/frankconroy.txt,"(17, 77.0420824)","(10, 11.4638449)","(14, 10.6293939)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/bonjoursoftware.txt,"(12, 97.4692108)","(11, 0.955266)","(7, 0.8215312)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/globalwarmingcontrov.txt,"(10, 33.9533544)","(2, 28.504796300000002)","(13, 23.1066573)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/sub7.txt,"(12, 80.7433555)","(10, 8.266702500000001)","(13, 3.9062988)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/boygeorge.txt,"(14, 53.0696904)","(17, 29.9318353)","(13, 5.7442069)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/lasgo.txt,"(14, 95.4104121)","(18, 1.9068834)","(13, 1.4053883)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/coccydynia.txt,"(15, 82.7239481)","(10, 8.4962353)","(4, 7.1103199)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/structuralritualizat.txt,"(10, 90.7128924)","(12, 4.2700765)","(2, 2.1496113)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/davidzeller.txt,"(18, 65.597169)","(17, 30.705373)","(10, 1.8483718999999998)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/unitedstateslicensep.txt,"(4, 56.6502021)","(17, 23.6081063)","(6, 9.303779299999999)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/aups.txt,"(7, 45.9189811)","(8, 29.714953)","(6, 10.6947242)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/listofpeoplefrombuff.txt,"(17, 72.888741)","(1, 10.7428303)","(14, 7.3387137000000005)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/caesarcipher.txt,"(12, 40.3596856)","(2, 24.6671891)","(7, 14.0194164)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/slingweapon.txt,"(4, 48.7444801)","(6, 16.4321339)","(5, 10.875979500000001)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/mikemendoza.txt,"(17, 37.4705064)","(11, 26.204374800000004)","(3, 21.4797998)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/cometholmes.txt,"(2, 67.2274662)","(17, 21.2411668)","(8, 5.670203900000001)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/areacode910.txt,"(11, 46.111036500000004)","(8, 33.7190799)","(12, 8.0881619)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/ayoteo.txt,"(14, 73.6046009)","(17, 16.9858278)","(9, 6.063265)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/barneyglaser.txt,"(17, 43.0944148)","(9, 28.674512000000004)","(10, 27.452007499999997)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/ordotempliorientis.txt,"(19, 55.9218366)","(13, 15.443622300000001)","(10, 7.9227486)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/memorialfieldairport.txt,"(11, 55.2912403)","(4, 22.2055911)","(17, 12.8956493)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/standardraidlevels.txt,"(12, 74.4514285)","(2, 22.7775376)","(10, 2.6104417)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/terrorismintheunited.txt,"(5, 47.4193913)","(17, 39.263971600000005)","(3, 6.6573094)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/redneck.txt,"(17, 32.8182246)","(6, 29.697897899999997)","(10, 19.0229635)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/electrostaticloudspe.txt,"(2, 60.6892019)","(4, 28.3777542)","(14, 3.7311087)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/marielboatlift.txt,"(5, 38.3227212)","(13, 21.6773199)","(17, 16.6644151)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/capcom.txt,"(18, 57.20755079999999)","(13, 23.4473409)","(12, 7.881911799999999)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/graciebarra.txt,"(1, 46.320077)","(9, 33.251829799999996)","(10, 13.6878522)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/x86.txt,"(12, 91.41988549999999)","(2, 5.7722137)","(10, 2.7526728)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/kenwilber.txt,"(10, 69.7298006)","(19, 12.3487692)","(17, 8.001576100000001)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/memberstatesofunesco.txt,"(3, 77.7618455)","(13, 13.834325)","(7, 3.7771686)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/brucegolding.txt,"(3, 65.3677508)","(13, 11.9538483)","(17, 11.3954063)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/bigthree.txt,"(1, 38.8855067)","(17, 16.5957578)","(14, 15.8484828)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/yogurt.txt,"(15, 78.8122542)","(6, 8.8858166)","(17, 3.2986475)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/braithwaitesurname.txt,"(17, 83.9610553)","(8, 11.1957622)","(14, 1.2065184)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/twinpeaks.txt,"(18, 40.2791491)","(17, 29.526857699999997)","(0, 21.9178994)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/chalice.txt,"(19, 56.177628999999996)","(10, 10.2689231)","(0, 7.400515100000001)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/listoftopicscharacte.txt,"(10, 47.87866)","(15, 27.7762158)","(2, 10.4586706)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/soda.txt,"(15, 47.3210451)","(17, 15.510519500000001)","(12, 15.4454456)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/takashitakeuchi.txt,"(18, 88.42895659999999)","(17, 9.181764600000001)","(12, 1.0512176)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/segwaypt.txt,"(4, 70.9976154)","(13, 12.4348649)","(17, 9.4603283)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/wikipediarequestedmo.txt,"(10, 90.21750010000001)","(13, 5.0073056)","(12, 1.4760583)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/ucanttouchthis.txt,"(14, 77.4678974)","(18, 6.1274057)","(17, 5.4776831)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/opengl.txt,"(12, 94.57748550000001)","(2, 3.2211837)","(10, 1.5666989)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/royal_s_copeland.txt,"(3, 74.2115592)","(17, 12.5388285)","(9, 8.9430394)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/ellenharvelle.txt,"(0, 91.0408977)","(10, 5.0820624)","(18, 3.3394416000000002)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/abbeymillsmosque.txt,"(13, 40.2987105)","(8, 30.6125628)","(10, 12.511513099999998)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/mementofilm.txt,"(18, 62.00454800000001)","(17, 15.1079831)","(10, 11.331556299999999)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/colorchart.txt,"(2, 45.2464492)","(4, 15.780672000000001)","(12, 14.4059102)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/brainstorming.txt,"(10, 80.92142439999999)","(12, 11.3622392)","(13, 5.1936845)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/greatlakestwa.txt,"(6, 80.7510189)","(10, 9.117075400000001)","(3, 3.6813116999999997)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/dwavesystems.txt,"(2, 55.2196198)","(12, 16.5139448)","(13, 9.327860000000001)"
file:/Users/nevermoar/Documents/mallet-2.0.8/sample-data/web/en/sentinelprime.txt,"(16, 85.1106715)","(0, 3.7279263)","(10, 3.4677375)"
