	revid	editor	datetime	title
0	83466154	77.64.168.113	2012-09-28T09:21:08	Andorre
1	83466200	77.64.168.113	2012-09-28T09:23:01	Andorre
2	113668678	41.248.111.146	2015-04-08T20:23:34	Amérique du Sud
3	88534194	46.166.174.209	2013-02-08T12:54:48	Anime
4	88682845	199.115.114.66	2013-02-12T10:25:39	Anime
5	88683183	46.166.168.105	2013-02-12T10:34:04	Anime
6	121734831	86.199.130.159	2015-12-30T13:32:26	Acier
7	99745843	83.158.30.40	2013-12-31T12:53:06	Amphétamine
8	144543630	86.206.23.246	2018-01-16T15:47:17	Astéroïde
9	71353056	212.28.240.98	2011-10-23T06:56:01	Alain-Fournier
10	114863719	83.114.67.152	2015-05-09T15:10:21	Antonin Artaud
11	59543269	86.192.172.20	2010-11-24T09:38:29	Belgique
12	142676741	78.112.185.225	2017-11-17T11:59:31	Bouches-du-Rhône
13	93577029	109.208.198.161	2013-05-29T15:49:36	Bastet
14	93577078	109.208.198.161	2013-05-29T15:51:24	Bastet
15	93577169	109.208.198.161	2013-05-29T15:54:54	Bastet
16	101661950	90.54.128.240	2014-02-28T08:37:07	Blues
17	101662024	90.54.128.240	2014-02-28T08:40:10	Blues
18	144612824	84.102.151.241	2018-01-18T17:44:49	Boris Karloff
19	58098590	88.201.1.30	2010-10-15T10:44:28	Bahreïn
20	85180873	90.20.26.207	2012-11-11T07:36:51	Client-serveur
21	119909061	88.219.191.62	2015-10-27T10:53:40	Charles Martel
22	116629548	80.254.73.137	2015-07-07T20:44:16	Collège en France
23	91628012	77.64.174.191	2013-04-03T02:40:05	Cinéma japonais
24	88358076	24.6.253.27	2013-02-03T15:51:48	Christiane Taubira
25	97134942	2.0.83.124	2013-10-01T07:43:22	Disque compact
26	104178876	83.156.40.126	2014-05-28T10:12:02	Disque compact
27	104178924	83.156.40.126	2014-05-28T10:14:34	Disque compact
28	55964449	62.58.108.142	2010-08-08T19:25:27	Cameroun
29	55964514	62.58.108.142	2010-08-08T19:28:57	Cameroun
30	88253376	109.202.102.117	2013-01-31T16:14:52	Cyberpunk
31	88253430	109.202.102.117	2013-01-31T16:16:06	Cyberpunk
32	87957614	90.54.101.21	2013-01-23T07:46:30	Distribution Linux
33	87957679	90.54.101.21	2013-01-23T07:50:00	Distribution Linux
34	112469348	90.36.188.150	2015-03-06T00:29:10	Dominique (pays)
35	112469373	90.36.188.150	2015-03-06T00:30:52	Dominique (pays)
36	98508068	82.226.167.240	2013-11-20T16:24:25	Essonne (département)
37	57251901	92.241.190.188	2010-09-19T08:31:26	Europe
38	72011354	79.83.0.113	2011-11-11T16:09:21	Espagnol
39	77124342	88.122.252.64	2012-03-29T16:57:23	Espagnol
40	113112269	86.207.250.117	2015-03-20T23:49:55	Estonien
41	108833423	80.13.81.226	2014-11-04T13:00:28	Effet de serre
42	108833631	80.13.81.226	2014-11-04T13:07:08	Effet de serre
43	125001696	41.141.199.2	2016-04-04T16:45:36	Effet de serre
44	125001764	41.141.199.2	2016-04-04T16:47:53	Effet de serre
45	113098249	86.207.250.117	2015-03-20T14:08:33	Finnois
46	113110636	86.207.250.117	2015-03-20T22:34:38	Finnois
47	64558028	81.93.6.21	2011-04-21T14:58:13	France Télécom
48	107778419	86.213.194.152	2014-09-27T13:11:19	Coupe du monde de football
49	82875339	78.46.119.2	2012-09-10T14:02:27	GNU
50	94870286	77.197.163.174	2013-07-11T13:58:37	Gers (département)
51	59533853	80.236.224.115	2010-11-23T21:12:32	Géographie de la Grèce
52	72467309	80.12.172.53	2011-11-24T18:57:43	Guyana
53	66793382	84.19.169.162	2011-06-25T21:18:21	Haute-Normandie
54	143593030	82.230.29.17	2017-12-17T02:38:17	Hérault (département)
55	120848034	82.122.184.162	2015-11-27T13:39:49	Histoire du jeu vidéo
56	120848118	82.122.184.162	2015-11-27T13:42:29	Histoire du jeu vidéo
57	120848142	82.122.184.162	2015-11-27T13:43:25	Histoire du jeu vidéo
58	120848339	82.122.184.162	2015-11-27T13:50:03	Histoire du jeu vidéo
59	114969973	80.13.81.226	2015-05-13T10:54:02	Hindouisme
60	114970126	80.13.81.226	2015-05-13T11:00:16	Hindouisme
61	114970154	80.13.81.226	2015-05-13T11:01:49	Hindouisme
62	121325535	92.157.50.168	2015-12-14T15:41:30	Henry Ford
63	113306217	80.13.81.226	2015-03-27T15:49:45	Hérésie
64	113306223	80.13.81.226	2015-03-27T15:49:50	Hérésie
65	113945424	80.13.81.226	2015-04-17T15:18:06	Hérésie
66	90319475	207.162.116.1	2013-03-15T16:47:50	Islande
67	84162264	46.246.116.244	2012-10-16T07:19:22	IMac
68	129781125	46.218.9.58	2016-09-20T12:58:45	Intelligence artificielle
69	129781179	46.218.9.58	2016-09-20T13:00:27	Intelligence artificielle
70	116654440	89.84.31.242	2015-07-08T19:20:50	Jacques Derrida
71	108229689	78.250.24.111	2014-10-14T20:15:29	Joseph E. Stiglitz
72	119150503	85.93.194.232	2015-10-02T18:12:14	Jacques Tardi
73	119116862	46.218.9.58	2015-10-01T11:18:17	Linus Torvalds
74	119116869	46.218.9.58	2015-10-01T11:18:37	Linus Torvalds
75	86313376	196.217.209.69	2012-12-08T19:04:42	Liban
76	125156013	81.246.130.109	2016-04-10T00:49:09	Liste de linguistes
77	75815378	96.44.163.76	2012-02-20T05:38:10	Français
78	83477232	92.152.50.189	2012-09-28T15:16:49	Français
79	67095133	65.94.125.162	2011-07-04T00:35:19	Lune
80	59034049	82.239.236.193	2010-11-10T16:38:11	MD5
81	59034397	82.239.236.193	2010-11-10T16:47:02	MD5
82	56555725	85.26.86.213	2010-08-27T21:47:29	Militaire
83	56555750	85.26.86.213	2010-08-27T21:48:25	Militaire
84	56555782	85.26.86.213	2010-08-27T21:49:43	Militaire
85	75865009	90.57.7.91	2012-02-21T12:49:47	Marseille
86	75865060	90.57.7.91	2012-02-21T12:51:31	Marseille
87	116654684	89.84.31.242	2015-07-08T19:25:17	Martin Heidegger
88	84682883	90.59.167.191	2012-10-28T14:30:02	Minitel
89	84682926	90.59.167.191	2012-10-28T14:30:58	Minitel
90	120063635	84.19.165.215	2015-11-01T12:52:51	Maurice Papon
91	133115955	88.219.191.116	2016-12-29T13:20:58	Nièvre (département)
92	133116267	88.219.191.116	2016-12-29T13:29:59	Nièvre (département)
93	71019882	86.214.245.232	2011-10-12T14:46:12	Nouvelle-Zélande
94	71019939	86.214.245.232	2011-10-12T14:48:15	Nouvelle-Zélande
95	103870884	81.251.132.138	2014-05-16T20:53:15	Nîmes
96	103870970	81.251.132.138	2014-05-16T20:56:43	Nîmes
97	88988401	212.63.218.1	2013-02-19T09:18:48	Nicolas Copernic
98	55797618	69.22.184.8	2010-08-03T00:06:19	Neil Armstrong
99	117274003	77.234.44.138	2015-07-29T13:41:54	Neil Armstrong
100	117288518	77.234.44.180	2015-07-29T21:15:18	Neil Armstrong
101	68746595	78.249.212.208	2011-08-23T12:51:42	Oscar Wilde
102	97515041	90.2.139.190	2013-10-16T09:33:09	Oscar Wilde
103	86776416	80.14.28.60	2012-12-21T09:05:13	Onomastique
104	119807562	88.219.191.62	2015-10-24T19:52:38	Pépin le Bref
105	87218834	84.103.13.148	2013-01-03T14:37:33	Photographie
106	87218884	84.103.13.148	2013-01-03T14:38:21	Photographie
107	87218952	84.103.13.148	2013-01-03T14:39:49	Photographie
108	119881597	41.205.16.254	2015-10-26T18:14:08	Philosophie
109	95454630	90.22.76.135	2013-08-01T05:45:50	Philippe Pétain
110	105846618	93.115.84.195	2014-07-31T00:33:53	Qatar
111	105862356	93.115.84.195	2014-07-31T14:20:34	Qatar
112	105862480	93.115.84.195	2014-07-31T14:24:04	Qatar
113	121217227	2.0.57.218	2015-12-10T16:55:52	Royaume-Uni
114	62322298	79.90.180.238	2011-02-15T21:37:32	Rhône-Alpes
